Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
109574,Potential XSS attack with [0x8E][0xE3] in EUC-JP page,"VULNERABILITY DETAILS
Google Chrome treats [0x8E][0xEC] as [0x5C] in EUC-JP page.
This means that even though the developer takes correct XSS protection, XSS occurs.

Ex:

http://example.com/?q=xxx%22%3C%3E --------

<script>var x=""xxx\""&lt;&gt;""</script>

-----------------------------------------------

http://example.com/?q=%8E%EC%22;alert(1)// --------

<script>var x=""[0x8E][0xEC]\"";alert(1)//""</script>

------------------------------------------------

VERSION
Chrome Version: 16.0.912.75 stable
Operating System: Windows Vista sp2",29,1/9/2012,5/16/2012,128,Bug-security,2,2
110068,A 'change' event does not fire when a mouse drag occurs to switch elements in a listbox <select>,"Chrome Version : 17.0.963.33
OS Version: 6.1 (Windows 7, Windows Server 2008 R2)
URLs (if applicable) :
Other browsers tested:
Add OK or FAIL after other browsers where you have tested this issue:
Safari 5: ?
Firefox 4.x: OK
IE 7/8/9: OK

What steps will reproduce the problem?
1. Click an item in a select list and the onchange event fires as expected.
2. Click and item and hold the mouse button down and drag to another element (causing the selected item to change). The onchange event does not fire.

What is the expected result?
The onchange event should fire.

What happens instead?
Nothing

Please provide any additional information below. Attach a screenshot if possible.

UserAgentString: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.33 Safari/535.11

See the attached HTML file as an example. Notice as you select an item in the list and drag your mouse to another item (say red to blue), the onchange event is not fired. The reason this can be a problem is depending on how a user operates the mouse, a ""drag"" selection may accidentally occur.

I have only noticed this problem in the latest Chrome betas. It is very apparent in our main web application which uses select lists and the onchange event to trigger a postback (ASP.NET and autopostback) to cause the page to refresh with new content. Often when selecting a new element on a list, the event does not fire, causing confusion and problems within our application. The frustrating thing is that 9 out of 10 times the event will fire when making a simple selection. The drag behavior outlined above is the only case where it seemed to be reproducible every time. I am guessing this is may be what is causing the selection problems we are experiencing in our application.",17,1/13/2012,1/24/2012,11,Bug-regression,1,2
110165,found a resource leak ( missing filepointer close ) in module: third_party/webrtc/system_wrappers/source/cpu_linux.cc,"Chrome Version : current development head
OS Version: 
URLs (if applicable) :
Other browsers tested:
Add OK or FAIL after other browsers where you have tested this issue:
Safari 5:
Firefox 4.x:
IE 7/8/9:

What steps will reproduce the problem?
1. Take a look at file : chromiumroot/src/third_party/webrtc/system_wrappers/source/cpu_linux.cc

2. Got to function int CpuLinux::GetNumCores()

int CpuLinux::GetNumCores()
{
FILE* fp = fopen(""/proc/stat"", ""r"");
if (!fp)
{
return -1;
}
// Skip first line
char line[100];
if (!fgets(line, 100, fp))
{
/// here is a missing fclose(fp);
return -1;
}
....

3.

What is the expected result?


What happens instead?


Please provide any additional information below. Attach a screenshot if
possible.

UserAgentString: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.10 Chromium/15.0.874.106 Chrome/15.0.874.106 Safari/535.2",8,1/14/2012,1/31/2012,17,Bug,1,2
110891,FileSystemExtensionApiTest failure,The webkit revision responsible is: http://trac.webkit.org/changeset/105395,2,1/21/2012,10/29/2012,282,Bug,2,2
111026,NULL ptr in WebCore::RootInlineBox::closestLeafChildForLogicalLeftPosition,"Detailed report: https://cluster-fuzz.appspot.com/testcase?key=15314965

Uploader: skylined@chromium.org

Crash Type: UNKNOWN
Crash Address: 0x000000000035
Crash State:
- crash stack -
WebCore::RootInlineBox::closestLeafChildForLogicalLeftPosition
WebCore::nextLinePosition
WebCore::nextParagraphPosition

Regressed: https://cluster-fuzz.appspot.com/revisions?range=108839:108881

Minimized Testcase (0.54 Kb): https://cluster-fuzz.appspot.com/download/AMIfv96rDSMzn_c27NsLw9Vi-ghtdiQTV_3F0oA_RfRzvAn5eeu_cvy8AHrzosbX6Lf9GO3o-niPx_d2y3SypWW5h8ux_iT-9Cty2Vcx9BQYTqDkWZWI54J7hGfAD0oeA2_9Yv_914-VCuA0LwZS-LN2lslOpCiLNg",2,1/23/2012,2/1/2012,9,Bug,1,2
111973,CCProxy needs to support context lost,CCProxy needs to support context lost.,10,1/31/2012,3/8/2012,37,Bug,2,2
112818,DevTools: Object preview in console and on hover,(toString with some improvement),6,2/7/2012,10/12/2012,248,Bug,1,2
113752,Two sided' (duplex) option disappears with Ricoh MPC3501,"Mac 10.6.8
Chrome: 19.0.1036.7 and 18.0.1025.7

What steps will reproduce the problem?
1. Bring up print preview for a webpage
2. Select Ricoh MPC3501 (which has duplex)

What is the expected output? What do you see instead?
- Expect Two-sided option to appear
- Instead no two-sided option appears until I select a different (duplex) printer, HP LaserJet 9050dn, which shows the two-sided option correctly, then switch back to the Ricoh.
- Issue will reproduce if I print to Google Cloud Print and then print preview again. Otherwise the two-sided option persists as expected.",5,2/11/2012,7/10/2012,150,Bug,2,2
115911,"cr-mac10_5-2-qa slave not starting with ""make start""","The Mac 10.5 beta Chrome continuous builder cr-mac10_5-2-qa was not connecting when ""make start"" was run. Nirnimesh got it to start correctly when he ran the command that launchctl was support to run.",8,2/28/2012,2/28/2012,0,Bug,4,2
119281,Heap-use-after-free in WebCore::GenericEventQueue::~GenericEventQueue,"Crashes on windows dev 19.0.1068.1 (126852) and canary 19.0.1075.0 (127639). Can't reproduce on stable.

----- crash1.html -----

<!DOCTYPE html>

<script>
function reloading() {
window.open('crash1.html', '_self');
}
setTimeout(""reloading()"", 200);

window.onload = main;

function main(){
window.document.body.innerHTML = 'foo';
}
</script>

<!-- 
audio tag is not necessary but increases the probability of catching this 
-->
<audio src=""water.mp3""></audio>
<video autoplay src=""bear.mp4""></video>

-----------------------

(1d74.1dc8): Access violation - code c0000005 (first chance)
First chance exceptions are reported before any exception handling.
This exception may be expected and handled.
eax=0293b930 ebx=00f55580 ecx=0293b540 edx=0293b7e0 esi=00000000 edi=00000000
eip=0293b7e0 esp=001feca8 ebp=001fecd4 iopl=0 nv up ei pl nz na po nc
cs=001b ss=0023 ds=0023 es=0023 fs=003b gs=0000 efl=00010202
0293b7e0 20b6930230b9 and byte ptr [esi-46CFFD6Dh],dh ds:0023:b9300293=??

ExceptionAddress: 0293b7e0
ExceptionCode: c0000005 (Access violation)
ExceptionFlags: 00000000
NumberParameters: 2
Parameter[0]: 00000008
Parameter[1]: 0293b7e0
Attempt to execute non-executable address 0293b7e0

ChildEBP RetAddr 
WARNING: Frame IP not in any known module. Following frames may be wrong.
001feca4 5f975f2c 0x293b7e0
001fecd4 5f975cd5 chrome_5ef50000!WebCore::HTMLMediaElement::~HTMLMediaElement+0x232
001fece0 5f2e0b92 chrome_5ef50000!WebCore::HTMLMediaElement::`scalar deleting destructor'+0xb
001fece8 5f04edce chrome_5ef50000!v8::String::ExternalStringResourceBase::Dispose+0xc
001fecf0 5f04ed43 chrome_5ef50000!WebCore::Event::~Event+0x3a
001fecfc 5f90a57a chrome_5ef50000!WebCore::Event::`scalar deleting destructor'+0xb
001fed08 5fa05b1d chrome_5ef50000!WTF::VectorDestructor<1,WTF::RefPtr<WebCore::LayerChromium> >::destruct+0x29
001fed18 5f975f61 chrome_5ef50000!WebCore::GenericEventQueue::~GenericEventQueue+0x2b
001fed44 5f99fde2 chrome_5ef50000!WebCore::HTMLMediaElement::~HTMLMediaElement+0x267
001fed50 5f2e0b92 chrome_5ef50000!WebCore::HTMLVideoElement::`scalar deleting destructor'+0x1f
001fed58 5f04edce chrome_5ef50000!v8::String::ExternalStringResourceBase::Dispose+0xc
001fed60 5f04ed43 chrome_5ef50000!WebCore::Event::~Event+0x3a
001fed6c 5f90a57a chrome_5ef50000!WebCore::Event::`scalar deleting destructor'+0xb
001fed78 5fa05df7 chrome_5ef50000!WTF::VectorDestructor<1,WTF::RefPtr<WebCore::LayerChromium> >::destruct+0x29
001fedf8 5f978c3f chrome_5ef50000!WebCore::GenericEventQueue::cancelAllEvents+0x35
001fee78 5f97c938 chrome_5ef50000!WebCore::HTMLMediaElement::cancelPendingEventsAndCallbacks+0x15
001feef8 5f129566 chrome_5ef50000!WebCore::HTMLMediaElement::stop+0x7e
001fef20 5f12928d chrome_5ef50000!WebCore::ScriptExecutionContext::stopActiveDOMObjects+0x4c
001fef38 5f03c877 chrome_5ef50000!WebCore::Document::detach+0x47
001fef9c 5f03c625 chrome_5ef50000!WebCore::Frame::setView+0x49
001fefb8 5f03c27a chrome_5ef50000!WebCore::Frame::createView+0x3c
001ff020 5f03b946 chrome_5ef50000!WebKit::WebFrameImpl::createFrameView+0xa8
001ff038 5f03ad36 chrome_5ef50000!WebCore::FrameLoader::transitionToCommitted+0x21a
001ff19c 5f1210a6 chrome_5ef50000!WebCore::FrameLoader::commitProvisionalLoad+0xd2
001ff1b4 5f121065 chrome_5ef50000!WebCore::DocumentLoader::commitLoad+0x3c
001ff1c8 5f120e3a chrome_5ef50000!WebCore::DocumentLoader::receivedData+0x45
[...]",19,3/22/2012,5/16/2012,55,Bug-security,1,1
119791,Gamepad analog stick values out of bounds,"Chrome Version : Google Chrome 19.0.1078.0 (Official Build 128404) canary
URLs (if applicable) :
Other browsers tested:
Add OK or FAIL after other browsers where you have tested this issue:
Safari 5:
Firefox 4.x:
IE 7/8/9:

What steps will reproduce the problem?
1. Load the attached gamepad.html example page in Chrome canary for Windows.
2. Attach an XInput-based gamepad and move one of the sticks to the far left/bottom.
3. Note that the axis value for that stick/direction can exceed 1, or become lower than -1.

What is the expected result?
According to https://dvcs.w3.org/hg/gamepad/raw-file/default/gamepad.html#gamepad-interface gamepad axis values must be in the range of [-1, 1]

What happens instead?
When an analog stick is moved to the far left or bottom, the value can escape this range.

Please provide any additional information below. Attach a screenshot if
possible.

The reason seems to be that the XInput API on Windows uses the range [-32768, 32767] for an analog stick, and Chrome (Webkit?) converts it incorrectly by dividing it by 32767. Since -32768 / 32767 < -1, an erroneous reading is given by the gamepad js api. Correct conversion should, eg axis x:
x' = ((x + 32768.0) / 32767.5) - 1",8,3/24/2012,3/25/2012,1,Bug,1,2
119975,Can't add GMail app to Chrome,"Try to add Gmail through the web store. Get the following message on Platform 2016

Package is invalid. Details: '/tmp/scope_dir_STByHY/CRX_INSTALL/_locales/zh_TH/messages.json: Line: 1, colmn: 1, Root value must be an array or obkect.'.

This also prevented Gmail which is a standard app to be installed by default on my test chrome user.",20,3/25/2012,3/29/2012,4,Bug,17,1
